UserID,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany,MajorCategoryID
84604,Downers Grove,IL,US,60516,Associate's,,,4,13.0,Yes,No,0,
84734,Schaumburg,IL,US,60159,Bachelor's,International Business,2012-05-01 00:00:00,7,5.0,Yes,No,0,191.0
85000,South Holland,IL,US,60473,None,,,4,24.0,Yes,No,0,
85312,Chicago,IL,US,60624,High School,Guidance,2002-05-01 00:00:00,3,12.0,Yes,Yes,3,0.0
87197,Chicago,IL,US,60634,None,Certified Medical biller,,3,11.0,Yes,Yes,25,130.0
89076,Peoria,IL,US,61614,Master's,Mechanical Engineering,2011-05-01 00:00:00,4,7.0,Yes,No,0,148.0
91966,Bradley,IL,US,60915,High School,Not Applicable,,4,10.0,Yes,No,0,0.0
92020,Lake Forest,IL,US,60045,Bachelor's,Paralegal Studies,2010-12-01 00:00:00,3,7.0,Yes,No,0,117.0
92299,Chicago,IL,US,60614,Bachelor's,Business Management,2009-12-01 00:00:00,4,6.0,No,No,0,21.0
93835,Johnsburg,IL,US,60051,Associate's,Technology and Mechanical Engineering,1993-01-01 00:00:00,6,19.0,,No,0,148.0
95536,Cicero,IL,US,60804,None,,,5,22.0,No,No,0,
97948,Bensenville,IL,US,60106,Bachelor's,Software Engineering,,2,5.0,No,No,0,170.0
99512,Chicago,IL,US,60617,High School,Not Applicable,1998-06-01 00:00:00,3,1.0,No,No,0,0.0
99661,Lansing,IL,US,60438,High School,,1986-06-01 00:00:00,3,10.0,No,No,0,
101604,Colfax,IL,US,61728,High School,"Business, Math, Science, English and Band",1985-01-01 00:00:00,5,20.0,Yes,No,0,98.0
102003,Glenview,IL,US,60026,Master's,Advertising,,6,5.0,,No,0,81.0
102996,Waukegan,IL,US,60085,Bachelor's,Medical Assistant,2011-01-01 00:00:00,2,4.0,No,No,0,30.0
103627,Darien,IL,US,60561,None,,2012-04-01 00:00:00,6,20.0,Yes,No,0,
104064,Marengo,IL,US,60152,Bachelor's,Business/Marketing,2007-05-01 00:00:00,7,14.0,Yes,Yes,3,21.0
104210,Morris,IL,US,60450,Bachelor's,Physical Education,2009-01-01 00:00:00,8,14.0,Yes,Yes,5,131.0
106344,Chicago,IL,US,60633,High School,Not Applicable,1982-01-01 00:00:00,3,30.0,,No,0,0.0
106385,Alden,IL,US,60001,Bachelor's,Electronics and Communication,2009-05-01 00:00:00,7,1.0,Yes,No,0,194.0
107829,Glenview,IL,US,60025,Bachelor's,Automotive Management and Service,1984-12-01 00:00:00,1,27.0,,No,0,116.0
108039,Calumet City,IL,US,60409,High School,Not Applicable,2005-01-01 00:00:00,2,4.0,No,No,0,0.0
110704,Spring Grove,IL,US,60081,Bachelor's,Mechanical Engineering Technology,1991-01-01 00:00:00,6,16.0,Yes,Yes,6,148.0
111372,Chicago,IL,US,60622,Bachelor's,Finance,2003-01-01 00:00:00,10,9.0,Yes,No,0,79.0
112091,Bolingbrook,IL,US,60440,None,,,0,,No,Yes,3,
112143,Elgin,IL,US,60124,High School,Not Applicable,,4,24.0,No,No,0,0.0
112575,Melrose Park,IL,US,60160,None,Paralegal Studies,2011-01-01 00:00:00,3,7.0,Yes,No,0,117.0
112963,Chicago,IL,US,60652,PhD,Organizational Leadership,2012-04-01 00:00:00,3,13.0,Yes,No,0,76.0
114229,Hoffman Estates,IL,US,60169,Vocational,Autobody Repair,1992-06-01 00:00:00,4,19.0,No,Yes,35,161.0
114293,Hillside,IL,US,60162,Bachelor's,Business Management,2010-01-01 00:00:00,2,13.0,Yes,No,0,21.0
114950,Chicago,IL,US,60652,Associate's,Arts,2006-01-01 00:00:00,5,5.0,No,Yes,5,111.0
115382,Island Lake,IL,US,60042,High School,General Studies,1981-06-01 00:00:00,7,19.0,Yes,Yes,10,117.0
115398,Chicago,IL,US,60657,None,,,5,9.0,Yes,Yes,4,
115818,Rockford,IL,US,61107,Associate's,Building Construction Technology,2012-03-01 00:00:00,3,15.0,Yes,No,0,114.0
116199,Chicago,IL,US,60640,Master's,Finance,,6,19.0,,No,0,79.0
116822,Oak Park,IL,US,60302,Master's,MBA in Healthcare,1971-06-01 00:00:00,6,30.0,Yes,No,0,189.0
117001,Urbana,IL,US,61801,Master's,Operations Management and Supervision,2002-01-01 00:00:00,10,15.0,Yes,Yes,8,34.0
120018,Chicago,IL,US,60640,Bachelor's,Psychology,,4,8.0,Yes,No,0,173.0
120803,Wheaton,IL,US,60187,Bachelor's,Industrial Technology,1983-05-01 00:00:00,9,27.0,Yes,Yes,25,173.0
120895,Chicago,IL,US,60626,None,,,9,23.0,No,Yes,6,
120929,Chicago,IL,US,60640,Bachelor's,Economics & Management,1989-06-01 00:00:00,9,22.0,Yes,Yes,5,17.0
122036,Chicago,IL,US,60657,Bachelor's,Business Administration & Marketing,,4,11.0,No,No,0,80.0
122419,Orland Hills,IL,US,60487,Bachelor's,Mathematics and Computer Science,1980-01-01 00:00:00,9,28.0,Yes,No,0,98.0
123147,Round Lake Beach,IL,US,60073,Bachelor's,Management of Human Resources,1995-01-01 00:00:00,5,9.0,Yes,Yes,1,49.0
124346,Calumet City,IL,US,60409,None,,1995-01-01 00:00:00,5,14.0,Yes,Yes,10,
124694,Des Plaines,IL,US,60016-6492,High School,,1975-06-01 00:00:00,10,32.0,Yes,Yes,6,
124796,Oswego,IL,US,60543,Bachelor's,Political Science,2003-05-01 00:00:00,6,12.0,Yes,No,0,98.0
124872,New Lenox,IL,US,60451,Master's,Business Administration,2006-05-01 00:00:00,3,16.0,Yes,Yes,7,80.0
125537,Park Forest,IL,US,60466,Master's,Project Management,2011-12-01 00:00:00,3,11.0,No,No,0,27.0
125663,Deerfield,IL,US,60015,Master's,Executive Program,,8,22.0,,No,0,76.0
125708,Deerfield,IL,US,60015,None,,,5,13.0,No,Yes,12,
126435,Naperville,IL,US,60565,Master's,CPA Certification,1997-07-01 00:00:00,7,38.0,Yes,Yes,25,0.0
126506,Berwyn,IL,US,60402,Bachelor's,,,5,13.0,Yes,No,0,
127064,Channahon,IL,US,60410,None,,,6,14.0,Yes,Yes,1,
127535,Chicago,IL,US,60617,None,General Studies,1995-06-01 00:00:00,7,11.0,No,No,0,117.0
127539,Vernon Hills,IL,US,60061,None,,,7,12.0,Yes,No,0,
128082,Oak Lawn,IL,US,60453,Bachelor's,Biology,1975-01-01 00:00:00,8,15.0,Yes,No,0,0.0
128371,Chicago,IL,US,60646,Associate's,"Travel & Airlines, Computer Science",,6,23.0,Yes,No,0,98.0
128517,Chicago,IL,US,60630,High School,Not Applicable,,6,26.0,No,No,0,0.0
128938,Lansing,IL,US,60438,Bachelor's,Information and Decision Science and Economics,,10,26.0,Yes,Yes,22,98.0
129590,Montgomery,IL,US,60538,None,pursuing Associate Degree in Business Adminstration,2012-12-01 00:00:00,2,13.0,Yes,No,0,21.0
129806,Alsip,IL,US,60803,Bachelor's,Chemical Engineering,2005-05-01 00:00:00,3,7.0,Yes,No,0,170.0
129835,Villa Park,IL,US,60181,Master's,"Marketing/Marketing Management, General",1999-12-01 00:00:00,5,11.0,Yes,No,0,23.0
130701,Chicago,IL,US,60620,Associate's,Business,2007-03-01 00:00:00,3,21.0,Yes,No,0,21.0
130968,Shorewood,IL,US,60404,None,,,5,26.0,No,Yes,200,
131488,Forest Park,IL,US,60130,Bachelor's,Accounting,1983-05-01 00:00:00,4,13.0,,No,0,44.0
131733,Rockford,IL,US,61102,None,Electronics and Avionics,,3,14.0,Yes,Yes,4,194.0
131959,Romeoville,IL,US,60446,Bachelor's,Biology,1996-01-01 00:00:00,5,15.0,Yes,No,0,0.0
132309,Joliet,IL,US,60435,High School,Social Studies,2000-07-01 00:00:00,10,8.0,Yes,Yes,20,117.0
132861,Streamwood,IL,US,60107,Associate's,Computer Engineering and Business Management,,8,14.0,Yes,No,0,110.0
132915,Crest Hill,IL,US,60435,Master's,Finance,2009-01-01 00:00:00,4,8.0,Yes,No,0,79.0
134149,Chicago,IL,US,60639,None,,,0,,Yes,No,0,
135012,Waukegan,IL,US,60085,Master's,,2009-01-01 00:00:00,7,10.0,,No,0,
135084,Westmont,IL,US,60559,Bachelor's,History,2007-05-01 00:00:00,10,9.0,Yes,Yes,15,0.0
135158,Justice,IL,US,60458,None,,,0,,Yes,Yes,12,
135456,Belleville,IL,US,62221,Bachelor's,Computer Science,1983-05-01 00:00:00,1,22.0,,No,0,98.0
135679,Coal City,IL,US,60416,Associate's,Interior Design,2007-05-01 00:00:00,3,18.0,Yes,No,0,81.0
135721,Aurora,IL,US,60506,None,,,1,3.0,Yes,Yes,10,
136030,Chicago,IL,US,60640,Bachelor's,Forensic Psychology,2012-05-01 00:00:00,7,13.0,Yes,Yes,15,173.0
136594,Chicago,IL,US,60620,None,,,5,23.0,No,No,0,
136965,Alsip,IL,US,60803,None,Medical billing and coding,2009-04-01 00:00:00,5,9.0,No,No,0,126.0
137371,Bolingbrook,IL,US,60440,Associate's,,2008-05-01 00:00:00,3,4.0,Yes,Yes,10,
137515,Saint Charles,IL,US,60174,Associate's,Math/Science,1984-05-01 00:00:00,9,21.0,No,Yes,6,98.0
137609,Bloomingdale,IL,US,60108,High School,,2002-06-01 00:00:00,6,8.0,Yes,Yes,20,
138206,Peoria,IL,US,61605,Master's,,,4,21.0,Yes,Yes,30,
138391,Oak Lawn,IL,US,60453,Bachelor's,Management and Quantitative Methods,2004-05-01 00:00:00,8,14.0,Yes,Yes,40,17.0
139294,New Lenox,IL,US,60451,Bachelor's,Healthcare Leadership Degree,2013-12-01 00:00:00,3,6.0,No,Yes,9,80.0
139301,Johnsburg,IL,US,60051,Master's,Finance,2010-01-01 00:00:00,6,17.0,Yes,No,0,79.0
139582,Chicago,IL,US,60626,Vocational,"Culinary Arts and Related Services, Other",2010-04-01 00:00:00,4,8.0,No,No,0,111.0
139904,Wauconda,IL,US,60084,Bachelor's,Business Administration,,10,29.0,No,Yes,16,80.0
139987,Chicago,IL,US,60620,Bachelor's,Mathematics,2006-08-01 00:00:00,2,5.0,Yes,No,0,0.0
140358,Sherrard,IL,US,61281,Bachelor's,Science Business Management,2010-10-01 00:00:00,10,21.0,Yes,Yes,55,98.0
140792,Chicago,IL,US,60617,None,,,4,28.0,No,No,0,
142419,Plainfield,IL,US,60586,High School,Not Applicable,1992-06-01 00:00:00,5,14.0,,No,0,0.0
142606,Minooka,IL,US,60447,None,,,2,3.0,,No,0,
143783,McCullom Lake,IL,US,60050,Bachelor's,Electrical Engineering,,5,31.0,Yes,No,0,179.0
143980,Chicago,IL,US,60623,Associate's,Surgical Technology Program,2007-05-01 00:00:00,10,9.0,Yes,No,0,128.0
144479,Evanston,IL,US,60202,Bachelor's,Medical Assisting,,6,11.0,Yes,No,0,30.0
144581,River Forest,IL,US,60305,Master's,Public Administration (MPA),2010-04-01 00:00:00,0,,,No,0,80.0
144982,Chicago,IL,US,60628,Master's,Psychology,2013-06-01 00:00:00,4,5.0,No,Yes,2,173.0
145099,Oak Park,IL,US,60304,None,,,10,21.0,Yes,Yes,5,
145110,Elgin,IL,US,60123,Bachelor's,Economics,1989-01-01 00:00:00,3,20.0,Yes,Yes,80,0.0
145456,Elmhurst,IL,US,60126,None,art,,6,17.0,Yes,No,0,0.0
146958,Chicago,IL,US,60609,Bachelor's,Visual Communications,2003-09-01 00:00:00,3,7.0,Yes,Yes,3,124.0
147511,Aurora,IL,US,60506,Master's,,,4,16.0,No,No,0,
148710,Elk Grove Village,IL,US,60007,Bachelor's,"Business Administration, Management",2004-12-01 00:00:00,3,5.0,Yes,No,0,80.0
150842,Round Lake,IL,US,60073,Bachelor's,Practical Internet Marketing,2011-03-01 00:00:00,10,18.0,Yes,Yes,50,23.0
151512,Chicago,IL,US,60624,None,,2004-01-01 00:00:00,10,19.0,Yes,No,0,
151552,Crest Hill,IL,US,60403,Master's,Accounting,,4,24.0,Yes,No,0,44.0
152324,Plano,IL,US,60545,Bachelor's,Elementary Education,1991-06-01 00:00:00,8,12.0,,Yes,25,131.0
152555,Chicago,IL,US,60619,Bachelor's,,2011-05-01 00:00:00,9,18.0,Yes,No,0,
152889,East Peoria,IL,US,61611,Bachelor's,Health Administration/Health Information Systems,2009-02-01 00:00:00,6,9.0,Yes,No,0,63.0
152946,Dolton,IL,US,60419,Bachelor's,Social Services / Child Welfare,2004-06-01 00:00:00,9,16.0,Yes,Yes,5,141.0
153314,Dupo,IL,US,62239,Bachelor's,Accounting and Business/Management,2014-01-01 00:00:00,9,6.0,No,Yes,15,44.0
153409,McHenry,IL,US,60050,Vocational,,2004-07-01 00:00:00,5,8.0,Yes,No,0,
154188,Oak Lawn,IL,US,60453,Master's,Accounting and Financial Management,2008-12-01 00:00:00,6,18.0,,No,0,69.0
154543,Waukegan,IL,US,60085,High School,Not Applicable,,4,15.0,No,No,0,0.0
154815,Carol Stream,IL,US,60188,None,,,5,6.0,Yes,No,0,
156573,Aurora,IL,US,60506,High School,Not Applicable,1993-06-01 00:00:00,5,14.0,Yes,No,0,0.0
157274,Carol Stream,IL,US,60188,High School,Not Applicable,,3,18.0,No,No,0,0.0
157594,Rock Falls,IL,US,61071,Bachelor's,Management of Technology,2005-01-01 00:00:00,5,16.0,Yes,Yes,25,128.0
158183,Lombard,IL,US,60148,None,,,3,10.0,No,No,0,
159592,Woodridge,IL,US,60517,Bachelor's,,1982-05-01 00:00:00,6,23.0,,No,0,
159725,Oswego,IL,US,60543,Bachelor's,Marketing,2004-05-01 00:00:00,4,7.0,Yes,No,0,23.0
159959,Mount Prospect,IL,US,60056,None,,,0,,,No,0,
160510,Chicago,IL,US,60626,High School,Not Applicable,2001-01-01 00:00:00,6,12.0,Yes,Yes,5,0.0
161346,Chicago,IL,US,60639,None,Fine Arts,,5,8.0,Yes,No,0,111.0
161610,O Fallon,IL,US,62269,None,Computer Technology/Computer Systems Technology,,8,15.0,No,No,0,110.0
161809,Streamwood,IL,US,60107,High School,,2001-06-01 00:00:00,5,12.0,,No,0,
162009,Chicago,IL,US,60653,None,Business Finance,,5,13.0,No,No,0,79.0
162576,Chicago,IL,US,60640,Bachelor's,Networks and Communications Management,2003-10-01 00:00:00,6,10.0,No,No,0,124.0
162683,Buffalo Grove,IL,US,60089,Associate's,Marketing/Business,2014-01-01 00:00:00,6,10.0,No,Yes,50,21.0
163227,Elgin,IL,US,60120,Bachelor's,,1999-01-01 00:00:00,4,4.0,Yes,No,0,
164058,Chicago,IL,US,60629,None,,,6,18.0,Yes,Yes,5,
165669,Chicago,IL,US,60628,Bachelor's,International Studies/,2014-09-01 00:00:00,6,15.0,Yes,Yes,7,191.0
165885,Chicago,IL,US,60630,Vocational,MTC Truck Driver Training,2008-10-01 00:00:00,9,13.0,No,Yes,20,136.0
166210,Westmont,IL,US,60559,High School,"Education, General",2003-01-01 00:00:00,5,10.0,Yes,No,0,131.0
166546,Chicago,IL,US,60653,High School,Not Applicable,2000-06-01 00:00:00,3,7.0,No,No,0,0.0
166550,Saint Charles,IL,US,60175,Master's,Electronics Engineering,,5,14.0,Yes,No,0,170.0
167425,Freeburg,IL,US,62243,None,,,0,,No,Yes,20,
167725,Calumet City,IL,US,60409,Master's,Human Resources Management,2010-01-01 00:00:00,4,10.0,Yes,No,0,49.0
169236,Chicago,IL,US,60659,Master's,Human Resources Development,2012-05-01 00:00:00,4,10.0,,No,0,49.0
169564,Schiller Park,IL,US,60176,None,,,4,24.0,No,Yes,32,
169887,Chicago,IL,US,60634,Associate's,,2008-01-01 00:00:00,5,12.0,No,No,0,
170626,Homewood,IL,US,60430,Bachelor's,Accounting,2000-05-01 00:00:00,4,10.0,No,No,0,44.0
170898,North Chicago,IL,US,60064,Associate's,Liberal Arts and Sciences/Liberal Studies,2003-01-01 00:00:00,4,8.0,,No,0,111.0
171435,Chicago,IL,US,60617,Bachelor's,English,2003-05-01 00:00:00,6,9.0,Yes,Yes,3,40.0
171659,Elk Grove Village,IL,US,60007,High School,Not Applicable,,6,12.0,No,Yes,4,0.0
172500,Chicago,IL,US,60643,Bachelor's,Business Management,2011-12-01 00:00:00,4,15.0,Yes,Yes,4,21.0
173128,Chicago,IL,US,60605,Bachelor's,Management with Spanish,2000-06-01 00:00:00,4,10.0,Yes,No,0,17.0
173927,Schaumburg,IL,US,60194,Bachelor's,"Business Administration and Management, General",,10,9.0,No,No,0,80.0
174918,Glen Carbon,IL,US,62034,Bachelor's,Accounting,2008-12-01 00:00:00,6,10.0,No,Yes,6,44.0
175219,Alsip,IL,US,60803,None,,1973-01-01 00:00:00,5,38.0,No,No,0,
175394,Chicago,IL,US,60620,High School,Not Applicable,2009-01-01 00:00:00,4,19.0,No,No,0,0.0
175752,Naperville,IL,US,60540,Master's,Management,,8,37.0,Yes,No,0,17.0
175969,Bartlett,IL,US,60103,Master's,,2004-01-01 00:00:00,4,13.0,No,No,0,
176017,Chicago,IL,US,60619,None,Business Administration,,2,6.0,Yes,No,0,80.0
176479,Chicago,IL,US,60619,None,,,9,10.0,No,Yes,30,
176529,Chicago,IL,US,60651,None,,,0,,No,No,0,
176664,Chicago,IL,US,60617,High School,Not Applicable,1996-06-01 00:00:00,4,12.0,Yes,Yes,5,0.0
